noun_id,page_index,category,category_name,head,reason,file,classification_method
"1945","27","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1945__head-wall.png","visual audit of representative image for each of 258 head types"
"1944","28","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1944__head-wall.png","visual audit of representative image for each of 258 head types"
"1943","29","B04-CUL","Culinary","head-hotdog","代表画像を目視確認した主要頭部モチーフ: hotdog","B04-CUL__Culinary/noun-1943__head-hotdog.png","visual audit of representative image for each of 258 head types"
"1942","30","B04-CUL","Culinary","head-nigiri","代表画像を目視確認した主要頭部モチーフ: nigiri","B04-CUL__Culinary/noun-1942__head-nigiri.png","visual audit of representative image for each of 258 head types"
"1941","31","B08-NAT","Nature & Element","head-wave","代表画像を目視確認した主要頭部モチーフ: wave","B08-NAT__Nature_&_Element/noun-1941__head-wave.png","visual audit of representative image for each of 258 head types"
"1940","32","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1940__head-wall.png","visual audit of representative image for each of 258 head types"
"1939","33","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1939__head-wall.png","visual audit of representative image for each of 258 head types"
"1938","34","B02-FAU","Fauna","head-horse-deepfried","代表画像を目視確認した主要頭部モチーフ: horse-deepfried","B02-FAU__Fauna/noun-1938__head-horse-deepfried.png","visual audit of representative image for each of 258 head types"
"1937","35","B04-CUL","Culinary","head-mustard","代表画像を目視確認した主要頭部モチーフ: mustard","B04-CUL__Culinary/noun-1937__head-mustard.png","visual audit of representative image for each of 258 head types"
"1936","36","B06-OBJ","Artifact & Architecture","head-firehydrant","代表画像を目視確認した主要頭部モチーフ: firehydrant","B06-OBJ__Artifact_&_Architecture/noun-1936__head-firehydrant.png","visual audit of representative image for each of 258 head types"
"1935","37","B10-ANO","Secret Anomaly","head-ghost-B","代表画像を目視確認した主要頭部モチーフ: ghost-B","B10-ANO__Secret_Anomaly/noun-1935__head-ghost-B.png","visual audit of representative image for each of 258 head types"
"1934","38","B04-CUL","Culinary","head-pumpkin","代表画像を目視確認した主要頭部モチーフ: pumpkin","B04-CUL__Culinary/noun-1934__head-pumpkin.png","visual audit of representative image for each of 258 head types"
"1933","39","B06-OBJ","Artifact & Architecture","head-road","代表画像を目視確認した主要頭部モチーフ: road","B06-OBJ__Artifact_&_Architecture/noun-1933__head-road.png","visual audit of representative image for each of 258 head types"
"1932","40","B01-HUM","Humanoid","head-tooth","代表画像を目視確認した主要頭部モチーフ: tooth","B01-HUM__Humanoid/noun-1932__head-tooth.png","visual audit of representative image for each of 258 head types"
"1931","41","B03-FLO","Flora & Fungi","head-peyote","代表画像を目視確認した主要頭部モチーフ: peyote","B03-FLO__Flora_&_Fungi/noun-1931__head-peyote.png","visual audit of representative image for each of 258 head types"
"1930","42","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1930__head-wall.png","visual audit of representative image for each of 258 head types"
"1929","43","B03-FLO","Flora & Fungi","head-weed","代表画像を目視確認した主要頭部モチーフ: weed","B03-FLO__Flora_&_Fungi/noun-1929__head-weed.png","visual audit of representative image for each of 258 head types"
"1928","44","B01-HUM","Humanoid","head-hair","代表画像を目視確認した主要頭部モチーフ: hair","B01-HUM__Humanoid/noun-1928__head-hair.png","visual audit of representative image for each of 258 head types"
"1927","45","B02-FAU","Fauna","head-dog","代表画像を目視確認した主要頭部モチーフ: dog","B02-FAU__Fauna/noun-1927__head-dog.png","visual audit of representative image for each of 258 head types"
"1926","46","B08-NAT","Nature & Element","head-cloud","代表画像を目視確認した主要頭部モチーフ: cloud","B08-NAT__Nature_&_Element/noun-1926__head-cloud.png","visual audit of representative image for each of 258 head types"
"1925","47","B02-FAU","Fauna","head-crab","代表画像を目視確認した主要頭部モチーフ: crab","B02-FAU__Fauna/noun-1925__head-crab.png","visual audit of representative image for each of 258 head types"
"1924","48","B06-OBJ","Artifact & Architecture","head-abacus","代表画像を目視確認した主要頭部モチーフ: abacus","B06-OBJ__Artifact_&_Architecture/noun-1924__head-abacus.png","visual audit of representative image for each of 258 head types"
"1923","49","B03-FLO","Flora & Fungi","head-fir","代表画像を目視確認した主要頭部モチーフ: fir","B03-FLO__Flora_&_Fungi/noun-1923__head-fir.png","visual audit of representative image for each of 258 head types"
"1922","50","B04-CUL","Culinary","head-blueberry","代表画像を目視確認した主要頭部モチーフ: blueberry","B04-CUL__Culinary/noun-1922__head-blueberry.png","visual audit of representative image for each of 258 head types"
"1921","51","B09-ECH","Secret Echo","head-bubble-speech","代表画像を目視確認した主要頭部モチーフ: bubble-speech","B09-ECH__Secret_Echo/noun-1921__head-bubble-speech.png","visual audit of representative image for each of 258 head types"
"1920","52","B04-CUL","Culinary","head-banana","代表画像を目視確認した主要頭部モチーフ: banana","B04-CUL__Culinary/noun-1920__head-banana.png","visual audit of representative image for each of 258 head types"
"1919","53","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1919__head-wall.png","visual audit of representative image for each of 258 head types"
"1918","54","B02-FAU","Fauna","head-zebra","代表画像を目視確認した主要頭部モチーフ: zebra","B02-FAU__Fauna/noun-1918__head-zebra.png","visual audit of representative image for each of 258 head types"
"1917","55","B05-MEC","Machine","head-calculator","代表画像を目視確認した主要頭部モチーフ: calculator","B05-MEC__Machine/noun-1917__head-calculator.png","visual audit of representative image for each of 258 head types"
"1916","56","B07-MAT","Material & Mineral","head-lint","代表画像を目視確認した主要頭部モチーフ: lint","B07-MAT__Material_&_Mineral/noun-1916__head-lint.png","visual audit of representative image for each of 258 head types"
"1915","57","B05-MEC","Machine","head-helicopter","代表画像を目視確認した主要頭部モチーフ: helicopter","B05-MEC__Machine/noun-1915__head-helicopter.png","visual audit of representative image for each of 258 head types"
"1914","58","B04-CUL","Culinary","head-beer","代表画像を目視確認した主要頭部モチーフ: beer","B04-CUL__Culinary/noun-1914__head-beer.png","visual audit of representative image for each of 258 head types"
"1913","59","B03-FLO","Flora & Fungi","head-saguaro","代表画像を目視確認した主要頭部モチーフ: saguaro","B03-FLO__Flora_&_Fungi/noun-1913__head-saguaro.png","visual audit of representative image for each of 258 head types"
"1912","60","B08-NAT","Nature & Element","head-moon","代表画像を目視確認した主要頭部モチーフ: moon","B08-NAT__Nature_&_Element/noun-1912__head-moon.png","visual audit of representative image for each of 258 head types"
"1911","61","B05-MEC","Machine","head-floppy-disk","代表画像を目視確認した主要頭部モチーフ: floppy-disk","B05-MEC__Machine/noun-1911__head-floppy-disk.png","visual audit of representative image for each of 258 head types"
"1910","62","B04-CUL","Culinary","head-cookie","代表画像を目視確認した主要頭部モチーフ: cookie","B04-CUL__Culinary/noun-1910__head-cookie.png","visual audit of representative image for each of 258 head types"
"1909","63","B05-MEC","Machine","head-sailboat","代表画像を目視確認した主要頭部モチーフ: sailboat","B05-MEC__Machine/noun-1909__head-sailboat.png","visual audit of representative image for each of 258 head types"
"1908","64","B05-MEC","Machine","head-turing","代表画像を目視確認した主要頭部モチーフ: turing","B05-MEC__Machine/noun-1908__head-turing.png","visual audit of representative image for each of 258 head types"
"1907","65","B06-OBJ","Artifact & Architecture","head-stapler","代表画像を目視確認した主要頭部モチーフ: stapler","B06-OBJ__Artifact_&_Architecture/noun-1907__head-stapler.png","visual audit of representative image for each of 258 head types"
"1906","66","B04-CUL","Culinary","head-cheese","代表画像を目視確認した主要頭部モチーフ: cheese","B04-CUL__Culinary/noun-1906__head-cheese.png","visual audit of representative image for each of 258 head types"
"1905","67","B09-ECH","Secret Echo","head-heart","代表画像を目視確認した主要頭部モチーフ: heart","B09-ECH__Secret_Echo/noun-1905__head-heart.png","visual audit of representative image for each of 258 head types"
"1904","68","B06-OBJ","Artifact & Architecture","head-beanie","代表画像を目視確認した主要頭部モチーフ: beanie","B06-OBJ__Artifact_&_Architecture/noun-1904__head-beanie.png","visual audit of representative image for each of 258 head types"
"1903","69","B06-OBJ","Artifact & Architecture","head-snowman","代表画像を目視確認した主要頭部モチーフ: snowman","B06-OBJ__Artifact_&_Architecture/noun-1903__head-snowman.png","visual audit of representative image for each of 258 head types"
"1902","70","B04-CUL","Culinary","head-steak","代表画像を目視確認した主要頭部モチーフ: steak","B04-CUL__Culinary/noun-1902__head-steak.png","visual audit of representative image for each of 258 head types"
"1901","71","B06-OBJ","Artifact & Architecture","head-pirateship","代表画像を目視確認した主要頭部モチーフ: pirateship","B06-OBJ__Artifact_&_Architecture/noun-1901__head-pirateship.png","visual audit of representative image for each of 258 head types"
"1900","72","B06-OBJ","Artifact & Architecture","head-pirateship","代表画像を目視確認した主要頭部モチーフ: pirateship","B06-OBJ__Artifact_&_Architecture/noun-1900__head-pirateship.png","visual audit of representative image for each of 258 head types"
"1899","73","B06-OBJ","Artifact & Architecture","head-basketball","代表画像を目視確認した主要頭部モチーフ: basketball","B06-OBJ__Artifact_&_Architecture/noun-1899__head-basketball.png","visual audit of representative image for each of 258 head types"
"1898","74","B04-CUL","Culinary","head-ketchup","代表画像を目視確認した主要頭部モチーフ: ketchup","B04-CUL__Culinary/noun-1898__head-ketchup.png","visual audit of representative image for each of 258 head types"
"1897","75","B04-CUL","Culinary","head-cotton-candy","代表画像を目視確認した主要頭部モチーフ: cotton-candy","B04-CUL__Culinary/noun-1897__head-cotton-candy.png","visual audit of representative image for each of 258 head types"
"1896","76","B06-OBJ","Artifact & Architecture","head-outlet","代表画像を目視確認した主要頭部モチーフ: outlet","B06-OBJ__Artifact_&_Architecture/noun-1896__head-outlet.png","visual audit of representative image for each of 258 head types"
"1895","77","B02-FAU","Fauna","head-green-snake","代表画像を目視確認した主要頭部モチーフ: green-snake","B02-FAU__Fauna/noun-1895__head-green-snake.png","visual audit of representative image for each of 258 head types"
"1894","78","B02-FAU","Fauna","head-tiger","代表画像を目視確認した主要頭部モチーフ: tiger","B02-FAU__Fauna/noun-1894__head-tiger.png","visual audit of representative image for each of 258 head types"
"1893","79","B06-OBJ","Artifact & Architecture","head-boot","代表画像を目視確認した主要頭部モチーフ: boot","B06-OBJ__Artifact_&_Architecture/noun-1893__head-boot.png","visual audit of representative image for each of 258 head types"
"1892","80","B02-FAU","Fauna","head-duck","代表画像を目視確認した主要頭部モチーフ: duck","B02-FAU__Fauna/noun-1892__head-duck.png","visual audit of representative image for each of 258 head types"
"1891","81","B04-CUL","Culinary","head-hotdog","代表画像を目視確認した主要頭部モチーフ: hotdog","B04-CUL__Culinary/noun-1891__head-hotdog.png","visual audit of representative image for each of 258 head types"
"1890","82","B05-MEC","Machine","head-ufo","代表画像を目視確認した主要頭部モチーフ: ufo","B05-MEC__Machine/noun-1890__head-ufo.png","visual audit of representative image for each of 258 head types"
"1889","83","B08-NAT","Nature & Element","head-moon","代表画像を目視確認した主要頭部モチーフ: moon","B08-NAT__Nature_&_Element/noun-1889__head-moon.png","visual audit of representative image for each of 258 head types"
"1888","84","B06-OBJ","Artifact & Architecture","head-mailbox","代表画像を目視確認した主要頭部モチーフ: mailbox","B06-OBJ__Artifact_&_Architecture/noun-1888__head-mailbox.png","visual audit of representative image for each of 258 head types"
"1887","85","B08-NAT","Nature & Element","head-earth","代表画像を目視確認した主要頭部モチーフ: earth","B08-NAT__Nature_&_Element/noun-1887__head-earth.png","visual audit of representative image for each of 258 head types"
"1886","86","B06-OBJ","Artifact & Architecture","head-crystalball","代表画像を目視確認した主要頭部モチーフ: crystalball","B06-OBJ__Artifact_&_Architecture/noun-1886__head-crystalball.png","visual audit of representative image for each of 258 head types"
"1885","87","B06-OBJ","Artifact & Architecture","head-boot","代表画像を目視確認した主要頭部モチーフ: boot","B06-OBJ__Artifact_&_Architecture/noun-1885__head-boot.png","visual audit of representative image for each of 258 head types"
"1884","88","B06-OBJ","Artifact & Architecture","head-paperclip","代表画像を目視確認した主要頭部モチーフ: paperclip","B06-OBJ__Artifact_&_Architecture/noun-1884__head-paperclip.png","visual audit of representative image for each of 258 head types"
"1883","89","B06-OBJ","Artifact & Architecture","head-index-card","代表画像を目視確認した主要頭部モチーフ: index-card","B06-OBJ__Artifact_&_Architecture/noun-1883__head-index-card.png","visual audit of representative image for each of 258 head types"
"1882","90","B05-MEC","Machine","head-floppy-disk","代表画像を目視確認した主要頭部モチーフ: floppy-disk","B05-MEC__Machine/noun-1882__head-floppy-disk.png","visual audit of representative image for each of 258 head types"
"1881","91","B02-FAU","Fauna","head-squid","代表画像を目視確認した主要頭部モチーフ: squid","B02-FAU__Fauna/noun-1881__head-squid.png","visual audit of representative image for each of 258 head types"
"1880","92","B04-CUL","Culinary","head-icepop-b","代表画像を目視確認した主要頭部モチーフ: icepop-b","B04-CUL__Culinary/noun-1880__head-icepop-b.png","visual audit of representative image for each of 258 head types"
"1879","93","B02-FAU","Fauna","head-cat","代表画像を目視確認した主要頭部モチーフ: cat","B02-FAU__Fauna/noun-1879__head-cat.png","visual audit of representative image for each of 258 head types"
"1878","94","B06-OBJ","Artifact & Architecture","head-factory-dark","代表画像を目視確認した主要頭部モチーフ: factory-dark","B06-OBJ__Artifact_&_Architecture/noun-1878__head-factory-dark.png","visual audit of representative image for each of 258 head types"
"1877","95","B02-FAU","Fauna","head-pufferfish","代表画像を目視確認した主要頭部モチーフ: pufferfish","B02-FAU__Fauna/noun-1877__head-pufferfish.png","visual audit of representative image for each of 258 head types"
"1876","96","B06-OBJ","Artifact & Architecture","head-film-35mm","代表画像を目視確認した主要頭部モチーフ: film-35mm","B06-OBJ__Artifact_&_Architecture/noun-1876__head-film-35mm.png","visual audit of representative image for each of 258 head types"
"1875","97","B06-OBJ","Artifact & Architecture","head-film-strip","代表画像を目視確認した主要頭部モチーフ: film-strip","B06-OBJ__Artifact_&_Architecture/noun-1875__head-film-strip.png","visual audit of representative image for each of 258 head types"
"1874","98","B02-FAU","Fauna","head-unicorn","代表画像を目視確認した主要頭部モチーフ: unicorn","B02-FAU__Fauna/noun-1874__head-unicorn.png","visual audit of representative image for each of 258 head types"
"1873","99","B06-OBJ","Artifact & Architecture","head-watch","代表画像を目視確認した主要頭部モチーフ: watch","B06-OBJ__Artifact_&_Architecture/noun-1873__head-watch.png","visual audit of representative image for each of 258 head types"
"1872","100","B04-CUL","Culinary","head-pumpkin","代表画像を目視確認した主要頭部モチーフ: pumpkin","B04-CUL__Culinary/noun-1872__head-pumpkin.png","visual audit of representative image for each of 258 head types"
"1871","101","B02-FAU","Fauna","head-werewolf","代表画像を目視確認した主要頭部モチーフ: werewolf","B02-FAU__Fauna/noun-1871__head-werewolf.png","visual audit of representative image for each of 258 head types"
"1870","102","B06-OBJ","Artifact & Architecture","head-mailbox","代表画像を目視確認した主要頭部モチーフ: mailbox","B06-OBJ__Artifact_&_Architecture/noun-1870__head-mailbox.png","visual audit of representative image for each of 258 head types"
"1869","103","B06-OBJ","Artifact & Architecture","head-crystalball","代表画像を目視確認した主要頭部モチーフ: crystalball","B06-OBJ__Artifact_&_Architecture/noun-1869__head-crystalball.png","visual audit of representative image for each of 258 head types"
"1868","104","B06-OBJ","Artifact & Architecture","head-paper-bag","代表画像を目視確認した主要頭部モチーフ: paper-bag","B06-OBJ__Artifact_&_Architecture/noun-1868__head-paper-bag.png","visual audit of representative image for each of 258 head types"
"1867","105","B06-OBJ","Artifact & Architecture","head-paperclip","代表画像を目視確認した主要頭部モチーフ: paperclip","B06-OBJ__Artifact_&_Architecture/noun-1867__head-paperclip.png","visual audit of representative image for each of 258 head types"
"1866","106","B04-CUL","Culinary","head-potato","代表画像を目視確認した主要頭部モチーフ: potato","B04-CUL__Culinary/noun-1866__head-potato.png","visual audit of representative image for each of 258 head types"
"1865","107","B06-OBJ","Artifact & Architecture","head-wizardhat","代表画像を目視確認した主要頭部モチーフ: wizardhat","B06-OBJ__Artifact_&_Architecture/noun-1865__head-wizardhat.png","visual audit of representative image for each of 258 head types"
"1864","108","B04-CUL","Culinary","head-macaroni","代表画像を目視確認した主要頭部モチーフ: macaroni","B04-CUL__Culinary/noun-1864__head-macaroni.png","visual audit of representative image for each of 258 head types"
"1863","109","B05-MEC","Machine","head-satellite","代表画像を目視確認した主要頭部モチーフ: satellite","B05-MEC__Machine/noun-1863__head-satellite.png","visual audit of representative image for each of 258 head types"
"1862","110","B02-FAU","Fauna","head-crab","代表画像を目視確認した主要頭部モチーフ: crab","B02-FAU__Fauna/noun-1862__head-crab.png","visual audit of representative image for each of 258 head types"
"1861","111","B06-OBJ","Artifact & Architecture","head-trashcan","代表画像を目視確認した主要頭部モチーフ: trashcan","B06-OBJ__Artifact_&_Architecture/noun-1861__head-trashcan.png","visual audit of representative image for each of 258 head types"
"1860","112","B10-ANO","Secret Anomaly","head-ghost-B","代表画像を目視確認した主要頭部モチーフ: ghost-B","B10-ANO__Secret_Anomaly/noun-1860__head-ghost-B.png","visual audit of representative image for each of 258 head types"
"1859","113","B06-OBJ","Artifact & Architecture","head-lock","代表画像を目視確認した主要頭部モチーフ: lock","B06-OBJ__Artifact_&_Architecture/noun-1859__head-lock.png","visual audit of representative image for each of 258 head types"
"1858","114","B06-OBJ","Artifact & Architecture","head-piggybank","代表画像を目視確認した主要頭部モチーフ: piggybank","B06-OBJ__Artifact_&_Architecture/noun-1858__head-piggybank.png","visual audit of representative image for each of 258 head types"
"1857","115","B06-OBJ","Artifact & Architecture","head-toothbrush-fresh","代表画像を目視確認した主要頭部モチーフ: toothbrush-fresh","B06-OBJ__Artifact_&_Architecture/noun-1857__head-toothbrush-fresh.png","visual audit of representative image for each of 258 head types"
"1856","116","B06-OBJ","Artifact & Architecture","head-pirateship","代表画像を目視確認した主要頭部モチーフ: pirateship","B06-OBJ__Artifact_&_Architecture/noun-1856__head-pirateship.png","visual audit of representative image for each of 258 head types"
"1855","117","B09-ECH","Secret Echo","head-chart-bars","代表画像を目視確認した主要頭部モチーフ: chart-bars","B09-ECH__Secret_Echo/noun-1855__head-chart-bars.png","visual audit of representative image for each of 258 head types"
"1854","118","B06-OBJ","Artifact & Architecture","head-factory-dark","代表画像を目視確認した主要頭部モチーフ: factory-dark","B06-OBJ__Artifact_&_Architecture/noun-1854__head-factory-dark.png","visual audit of representative image for each of 258 head types"
"1853","119","B09-ECH","Secret Echo","head-chart-bars","代表画像を目視確認した主要頭部モチーフ: chart-bars","B09-ECH__Secret_Echo/noun-1853__head-chart-bars.png","visual audit of representative image for each of 258 head types"
"1852","120","B06-OBJ","Artifact & Architecture","head-pill","代表画像を目視確認した主要頭部モチーフ: pill","B06-OBJ__Artifact_&_Architecture/noun-1852__head-pill.png","visual audit of representative image for each of 258 head types"
"1851","121","B06-OBJ","Artifact & Architecture","head-backpack","代表画像を目視確認した主要頭部モチーフ: backpack","B06-OBJ__Artifact_&_Architecture/noun-1851__head-backpack.png","visual audit of representative image for each of 258 head types"
"1850","122","B06-OBJ","Artifact & Architecture","head-clutch","代表画像を目視確認した主要頭部モチーフ: clutch","B06-OBJ__Artifact_&_Architecture/noun-1850__head-clutch.png","visual audit of representative image for each of 258 head types"
"1849","123","B06-OBJ","Artifact & Architecture","head-trashcan","代表画像を目視確認した主要頭部モチーフ: trashcan","B06-OBJ__Artifact_&_Architecture/noun-1849__head-trashcan.png","visual audit of representative image for each of 258 head types"
"1848","124","B02-FAU","Fauna","head-duck","代表画像を目視確認した主要頭部モチーフ: duck","B02-FAU__Fauna/noun-1848__head-duck.png","visual audit of representative image for each of 258 head types"
"1847","125","B04-CUL","Culinary","head-coffeebean","代表画像を目視確認した主要頭部モチーフ: coffeebean","B04-CUL__Culinary/noun-1847__head-coffeebean.png","visual audit of representative image for each of 258 head types"
"1846","126","B02-FAU","Fauna","head-mouse","代表画像を目視確認した主要頭部モチーフ: mouse","B02-FAU__Fauna/noun-1846__head-mouse.png","visual audit of representative image for each of 258 head types"
"1845","127","B07-MAT","Material & Mineral","head-lint","代表画像を目視確認した主要頭部モチーフ: lint","B07-MAT__Material_&_Mineral/noun-1845__head-lint.png","visual audit of representative image for each of 258 head types"
"1844","128","B05-MEC","Machine","head-calculator","代表画像を目視確認した主要頭部モチーフ: calculator","B05-MEC__Machine/noun-1844__head-calculator.png","visual audit of representative image for each of 258 head types"
"1843","129","B06-OBJ","Artifact & Architecture","head-goldcoin","代表画像を目視確認した主要頭部モチーフ: goldcoin","B06-OBJ__Artifact_&_Architecture/noun-1843__head-goldcoin.png","visual audit of representative image for each of 258 head types"
"1842","130","B02-FAU","Fauna","head-zebra","代表画像を目視確認した主要頭部モチーフ: zebra","B02-FAU__Fauna/noun-1842__head-zebra.png","visual audit of representative image for each of 258 head types"
"1841","131","B04-CUL","Culinary","head-blueberry","代表画像を目視確認した主要頭部モチーフ: blueberry","B04-CUL__Culinary/noun-1841__head-blueberry.png","visual audit of representative image for each of 258 head types"
"1840","132","B07-MAT","Material & Mineral","head-diamond-blue","代表画像を目視確認した主要頭部モチーフ: diamond-blue","B07-MAT__Material_&_Mineral/noun-1840__head-diamond-blue.png","visual audit of representative image for each of 258 head types"
"1839","133","B06-OBJ","Artifact & Architecture","head-hockeypuck","代表画像を目視確認した主要頭部モチーフ: hockeypuck","B06-OBJ__Artifact_&_Architecture/noun-1839__head-hockeypuck.png","visual audit of representative image for each of 258 head types"
"1838","134","B02-FAU","Fauna","head-dino","代表画像を目視確認した主要頭部モチーフ: dino","B02-FAU__Fauna/noun-1838__head-dino.png","visual audit of representative image for each of 258 head types"
"1837","135","B10-ANO","Secret Anomaly","head-ghost-B","代表画像を目視確認した主要頭部モチーフ: ghost-B","B10-ANO__Secret_Anomaly/noun-1837__head-ghost-B.png","visual audit of representative image for each of 258 head types"
"1836","136","B05-MEC","Machine","head-bomb","代表画像を目視確認した主要頭部モチーフ: bomb","B05-MEC__Machine/noun-1836__head-bomb.png","visual audit of representative image for each of 258 head types"
